id,name,developer,area_sq_m,geometry,approval_no,authority,created_at,updated_at
2941fc4c-7a8a-4c2c-a00f-c0892d800c10,Layout 1,Dummy Dev Pvt Ltd,56048,"POLYGON((80.058943 13.998501, 80.068943 13.998501, 80.068943 14.006501, 80.058943 14.006501, 80.058943 13.998501))",APP/2018/4657,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
8b3a3a5d-2f30-4d03-a64a-a188db967f01,Layout 2,Dummy Dev Pvt Ltd,91482,"POLYGON((80.008954 14.00625, 80.018954 14.00625, 80.018954 14.01425, 80.008954 14.01425, 80.008954 14.00625))",APP/2016/7912,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
2f45d9ca-3e68-4f37-b269-bfb194953dab,Layout 3,Dummy Dev Pvt Ltd,50495,"POLYGON((79.998178 14.00537, 80.008178 14.00537, 80.008178 14.01337, 79.998178 14.01337, 79.998178 14.00537))",APP/2023/1434,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
efcc712d-868a-4e7f-a01d-24f625f9bfdf,Layout 4,Dummy Dev Pvt Ltd,91426,"POLYGON((80.051125 14.067602, 80.061125 14.067602, 80.061125 14.075602, 80.051125 14.075602, 80.051125 14.067602))",APP/2021/4611,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
53b38416-3e13-4b6b-805f-701bcc33da3e,Layout 5,Dummy Dev Pvt Ltd,20851,"POLYGON((80.039921 14.023819, 80.049921 14.023819, 80.049921 14.031819, 80.039921 14.031819, 80.039921 14.023819))",APP/2017/7924,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
3198020a-89eb-4293-b28c-2de01c05f9ab,Layout 6,Dummy Dev Pvt Ltd,64118,"POLYGON((80.029025 14.011548, 80.039025 14.011548, 80.039025 14.019548, 80.029025 14.019548, 80.029025 14.011548))",APP/2016/2519,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
33213f47-e3c6-4e09-a67b-7286e5d36362,Layout 7,Dummy Dev Pvt Ltd,65082,"POLYGON((80.032993 14.031898, 80.042993 14.031898, 80.042993 14.039898, 80.032993 14.039898, 80.032993 14.031898))",APP/2024/5333,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
aa063f1a-134d-4b1b-b1ae-e39c4c8444de,Layout 8,Dummy Dev Pvt Ltd,90284,"POLYGON((80.075713 14.068973, 80.085713 14.068973, 80.085713 14.076973, 80.075713 14.076973, 80.075713 14.068973))",APP/2016/7201,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
f73ece28-013c-483f-aff5-badf0a021d8e,Layout 9,Dummy Dev Pvt Ltd,67400,"POLYGON((80.00288 14.025318, 80.01288 14.025318, 80.01288 14.033318, 80.00288 14.033318, 80.00288 14.025318))",APP/2024/4150,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
b3c45d16-b9c6-434f-9f57-54d67d8c3ec9,Layout 10,Dummy Dev Pvt Ltd,49871,"POLYGON((80.065457 14.000582, 80.075457 14.000582, 80.075457 14.008582, 80.065457 14.008582, 80.065457 14.000582))",APP/2019/2307,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
d212fb94-30a2-4744-8b6c-f792285d01c2,Layout 11,Dummy Dev Pvt Ltd,69823,"POLYGON((80.080532 14.082648, 80.090532 14.082648, 80.090532 14.090648, 80.080532 14.090648, 80.080532 14.082648))",APP/2019/8428,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
0ef101ad-fb11-4883-8bc2-f6a9f899b076,Layout 12,Dummy Dev Pvt Ltd,68520,"POLYGON((80.058568 14.032483, 80.068568 14.032483, 80.068568 14.040483, 80.058568 14.040483, 80.058568 14.032483))",APP/2020/4432,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
28d28d9e-f424-4123-afa2-7ea0492992b1,Layout 13,Dummy Dev Pvt Ltd,29358,"POLYGON((80.062018 14.066182, 80.072018 14.066182, 80.072018 14.074182, 80.062018 14.074182, 80.062018 14.066182))",APP/2024/3803,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
a54546e7-6390-4924-a93f-b775701fa42a,Layout 14,Dummy Dev Pvt Ltd,80589,"POLYGON((80.048414 14.020481, 80.058414 14.020481, 80.058414 14.028481, 80.048414 14.028481, 80.048414 14.020481))",APP/2021/5422,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
1f795ce3-0302-40ea-9cdc-769ce67f257a,Layout 15,Dummy Dev Pvt Ltd,93000,"POLYGON((80.093952 14.06, 80.103952 14.06, 80.103952 14.068, 80.093952 14.068, 80.093952 14.06))",APP/2018/6313,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
bebdb596-7e88-49b3-b234-cd4a349a2327,Layout 16,Dummy Dev Pvt Ltd,50021,"POLYGON((80.079285 14.0736, 80.089285 14.0736, 80.089285 14.0816, 80.079285 14.0816, 80.079285 14.0736))",APP/2015/6168,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
bfa3a2dc-25d4-43ca-9d26-4960ed7d54db,Layout 17,Dummy Dev Pvt Ltd,94341,"POLYGON((80.035116 14.002619, 80.045116 14.002619, 80.045116 14.010619, 80.035116 14.010619, 80.035116 14.002619))",APP/2020/4483,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
466af010-e2ee-4302-aca3-2c5c3fc4a85e,Layout 18,Dummy Dev Pvt Ltd,80142,"POLYGON((80.060544 14.035563, 80.070544 14.035563, 80.070544 14.043563, 80.060544 14.043563, 80.060544 14.035563))",APP/2017/5339,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
f456bc62-d5f6-4b02-a30a-afaf0fcc4406,Layout 19,Dummy Dev Pvt Ltd,90644,"POLYGON((80.008963 14.070499, 80.018963 14.070499, 80.018963 14.078499, 80.008963 14.078499, 80.008963 14.070499))",APP/2019/8019,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
d8aa73a0-02af-411a-80b1-6b90f2adca5b,Layout 20,Dummy Dev Pvt Ltd,48746,"POLYGON((80.084782 14.03594, 80.094782 14.03594, 80.094782 14.04394, 80.084782 14.04394, 80.084782 14.03594))",APP/2017/9348,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
28eba55c-474f-46d3-86b0-37be3addd262,Layout 21,Dummy Dev Pvt Ltd,34371,"POLYGON((80.044352 14.071578, 80.054352 14.071578, 80.054352 14.079578, 80.044352 14.079578, 80.044352 14.071578))",APP/2017/3621,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
ff1e454e-1ad3-4022-8f0b-d49a3abd3f47,Layout 22,Dummy Dev Pvt Ltd,28326,"POLYGON((80.074208 14.038216, 80.084208 14.038216, 80.084208 14.046216, 80.074208 14.046216, 80.074208 14.038216))",APP/2021/7252,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
46fce929-e9e1-45f0-b6d0-a7629df7df25,Layout 23,Dummy Dev Pvt Ltd,52953,"POLYGON((80.054589 14.042805, 80.064589 14.042805, 80.064589 14.050805, 80.054589 14.050805, 80.054589 14.042805))",APP/2023/1188,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
e5b0487b-c2a3-4a3d-8750-2995b915cca3,Layout 24,Dummy Dev Pvt Ltd,90381,"POLYGON((80.063028 14.007455, 80.073028 14.007455, 80.073028 14.015455, 80.063028 14.015455, 80.063028 14.007455))",APP/2019/6573,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
009c6b13-3718-4556-b90d-d612a73d7c90,Layout 25,Dummy Dev Pvt Ltd,79470,"POLYGON((80.006155 14.039477, 80.016155 14.039477, 80.016155 14.047477, 80.006155 14.047477, 80.006155 14.039477))",APP/2015/5315,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
b9b95cd6-dfd1-4e56-bc89-db74e2e97078,Layout 26,Dummy Dev Pvt Ltd,86542,"POLYGON((80.092189 14.072196, 80.102189 14.072196, 80.102189 14.080196, 80.092189 14.080196, 80.092189 14.072196))",APP/2016/5889,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
fbd29768-bfff-4336-b7a1-8f0c402400af,Layout 27,Dummy Dev Pvt Ltd,46071,"POLYGON((80.079167 14.046766, 80.089167 14.046766, 80.089167 14.054766, 80.079167 14.054766, 80.079167 14.046766))",APP/2017/7126,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
17028b63-4a44-400c-b6e9-c0da0703d2a0,Layout 28,Dummy Dev Pvt Ltd,89514,"POLYGON((80.071251 14.049938, 80.081251 14.049938, 80.081251 14.057938, 80.071251 14.057938, 80.071251 14.049938))",APP/2015/6310,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
1405c42d-2390-4225-8d21-6ec872bfdd89,Layout 29,Dummy Dev Pvt Ltd,67576,"POLYGON((80.043861 14.007187, 80.053861 14.007187, 80.053861 14.015187, 80.043861 14.015187, 80.043861 14.007187))",APP/2019/4923,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
bb1619e0-83b1-4350-acdf-179920c04bf5,Layout 30,Dummy Dev Pvt Ltd,30322,"POLYGON((80.000793 14.083801, 80.010793 14.083801, 80.010793 14.091801, 80.000793 14.091801, 80.000793 14.083801))",APP/2016/8962,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
52eef2e6-e09a-426b-b980-9343f8ffa329,Layout 31,Dummy Dev Pvt Ltd,89822,"POLYGON((80.076602 14.093798, 80.086602 14.093798, 80.086602 14.101798, 80.076602 14.101798, 80.076602 14.093798))",APP/2017/3103,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
e50d8f1d-09bd-474f-9458-1549152e6ebc,Layout 32,Dummy Dev Pvt Ltd,41643,"POLYGON((80.060975 14.090685, 80.070975 14.090685, 80.070975 14.098685, 80.060975 14.098685, 80.060975 14.090685))",APP/2019/9645,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
a371f275-cda9-4a7a-942c-83a76aed1148,Layout 33,Dummy Dev Pvt Ltd,47760,"POLYGON((80.082243 14.038314, 80.092243 14.038314, 80.092243 14.046314, 80.082243 14.046314, 80.082243 14.038314))",APP/2023/4295,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
b6b65a54-3726-42ff-a667-c8ded836abaf,Layout 34,Dummy Dev Pvt Ltd,68944,"POLYGON((80.066295 14.035899, 80.076295 14.035899, 80.076295 14.043899, 80.066295 14.043899, 80.066295 14.035899))",APP/2022/9479,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
0cd3f6ea-4162-4a1d-887b-6ebbf93980cd,Layout 35,Dummy Dev Pvt Ltd,28392,"POLYGON((80.040149 14.020791, 80.050149 14.020791, 80.050149 14.028791, 80.040149 14.028791, 80.040149 14.020791))",APP/2020/1344,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
70464a0d-7bb5-4e0c-aeaf-db029ff7afa1,Layout 36,Dummy Dev Pvt Ltd,48864,"POLYGON((80.053831 14.019011, 80.063831 14.019011, 80.063831 14.027011, 80.053831 14.027011, 80.053831 14.019011))",APP/2015/2163,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
12084460-0174-42b4-9007-1554333f74e5,Layout 37,Dummy Dev Pvt Ltd,28834,"POLYGON((80.065784 14.001887, 80.075784 14.001887, 80.075784 14.009887, 80.065784 14.009887, 80.065784 14.001887))",APP/2015/6413,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
c455dc6e-a72b-4949-9a50-eb1a40570157,Layout 38,Dummy Dev Pvt Ltd,83624,"POLYGON((80.002086 14.0198, 80.012086 14.0198, 80.012086 14.0278, 80.002086 14.0278, 80.002086 14.0198))",APP/2018/9834,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
b5a17731-0a6c-4851-878c-3e34fd9167d2,Layout 39,Dummy Dev Pvt Ltd,94847,"POLYGON((80.008231 14.089551, 80.018231 14.089551, 80.018231 14.097551, 80.008231 14.097551, 80.008231 14.089551))",APP/2024/8744,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
eb131161-5294-4643-82e3-6180524cd608,Layout 40,Dummy Dev Pvt Ltd,73354,"POLYGON((80.0193 14.043297, 80.0293 14.043297, 80.0293 14.051297, 80.0193 14.051297, 80.0193 14.043297))",APP/2018/2545,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
b9f4e02e-0a38-4427-a954-0154c5274756,Layout 41,Dummy Dev Pvt Ltd,75519,"POLYGON((80.004693 14.039105, 80.014693 14.039105, 80.014693 14.047105, 80.004693 14.047105, 80.004693 14.039105))",APP/2021/8651,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
892c9345-045b-48c8-818a-fe9f211edf69,Layout 42,Dummy Dev Pvt Ltd,32899,"POLYGON((80.081384 14.001417, 80.091384 14.001417, 80.091384 14.009417, 80.081384 14.009417, 80.081384 14.001417))",APP/2015/7596,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
0c93f527-2738-41ae-b93b-169789d0e6d4,Layout 43,Dummy Dev Pvt Ltd,34322,"POLYGON((80.067821 14.076059, 80.077821 14.076059, 80.077821 14.084059, 80.067821 14.084059, 80.067821 14.076059))",APP/2018/4139,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
019f6187-63d1-4974-8f1e-321a2aaf859c,Layout 44,Dummy Dev Pvt Ltd,75296,"POLYGON((80.014021 14.040861, 80.024021 14.040861, 80.024021 14.048861, 80.014021 14.048861, 80.014021 14.040861))",APP/2017/5563,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
b5eca59e-679c-45cb-a52c-3c4684b51c4b,Layout 45,Dummy Dev Pvt Ltd,29880,"POLYGON((80.041263 14.083449, 80.051263 14.083449, 80.051263 14.091449, 80.041263 14.091449, 80.041263 14.083449))",APP/2022/2604,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
5d18996d-efd9-40af-8964-d1c2e0d11c5f,Layout 46,Dummy Dev Pvt Ltd,21934,"POLYGON((80.000059 14.095928, 80.010059 14.095928, 80.010059 14.103928, 80.000059 14.103928, 80.000059 14.095928))",APP/2016/4872,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
9c59b3b3-9a7f-46aa-a9d2-fa86dd93a916,Layout 47,Dummy Dev Pvt Ltd,48016,"POLYGON((80.011631 14.044564, 80.021631 14.044564, 80.021631 14.052564, 80.011631 14.052564, 80.011631 14.044564))",APP/2021/1960,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
9e31197a-3991-47eb-8607-5a65e2184826,Layout 48,Dummy Dev Pvt Ltd,71173,"POLYGON((80.011464 13.996216, 80.021464 13.996216, 80.021464 14.004216, 80.011464 14.004216, 80.011464 13.996216))",APP/2019/8454,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
802cca4d-ec5c-4baf-9f47-08502298394f,Layout 49,Dummy Dev Pvt Ltd,92845,"POLYGON((80.023525 14.065659, 80.033525 14.065659, 80.033525 14.073659, 80.023525 14.073659, 80.023525 14.065659))",APP/2025/8973,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
bfb36a38-b167-4939-b6f9-afb0b152583d,Layout 50,Dummy Dev Pvt Ltd,27665,"POLYGON((80.01048 14.025671, 80.02048 14.025671, 80.02048 14.033671, 80.01048 14.033671, 80.01048 14.025671))",APP/2024/9883,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
15dfabec-f834-444b-9b79-9fa40bb0f4dc,Layout 51,Dummy Dev Pvt Ltd,26572,"POLYGON((80.001096 14.02736, 80.011096 14.02736, 80.011096 14.03536, 80.001096 14.03536, 80.001096 14.02736))",APP/2024/8811,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
d9be4b84-b971-413f-9823-b8c4e77c2a86,Layout 52,Dummy Dev Pvt Ltd,40635,"POLYGON((80.045285 14.081272, 80.055285 14.081272, 80.055285 14.089272, 80.045285 14.089272, 80.045285 14.081272))",APP/2015/9320,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
b3c6afbb-fd9d-4b53-9bf6-ff7e7bc6c8c7,Layout 53,Dummy Dev Pvt Ltd,97992,"POLYGON((80.003011 14.014582, 80.013011 14.014582, 80.013011 14.022582, 80.003011 14.022582, 80.003011 14.014582))",APP/2016/4853,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
9670ebd2-a84e-45f7-b895-a872e9897d43,Layout 54,Dummy Dev Pvt Ltd,94668,"POLYGON((80.035378 14.09016, 80.045378 14.09016, 80.045378 14.09816, 80.035378 14.09816, 80.035378 14.09016))",APP/2018/1651,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
744fc1c4-dd94-44ec-ac25-7b8ff9fbcd54,Layout 55,Dummy Dev Pvt Ltd,96503,"POLYGON((80.056938 14.037922, 80.066938 14.037922, 80.066938 14.045922, 80.056938 14.045922, 80.056938 14.037922))",APP/2024/9565,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
2d3cb81f-5591-4004-b466-db23cd0897bf,Layout 56,Dummy Dev Pvt Ltd,61180,"POLYGON((80.026637 14.022077, 80.036637 14.022077, 80.036637 14.030077, 80.026637 14.030077, 80.026637 14.022077))",APP/2018/5351,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
e874d345-6bd3-454e-bb4d-f9f036c2e666,Layout 57,Dummy Dev Pvt Ltd,59321,"POLYGON((80.034579 14.063169, 80.044579 14.063169, 80.044579 14.071169, 80.034579 14.071169, 80.034579 14.063169))",APP/2022/6180,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
7c7c1c60-4724-4eb0-b9ae-99a9bfebdea0,Layout 58,Dummy Dev Pvt Ltd,21220,"POLYGON((80.087902 14.089573, 80.097902 14.089573, 80.097902 14.097573, 80.087902 14.097573, 80.087902 14.089573))",APP/2022/2638,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
c8416214-d7ae-4f5a-bf0e-530ba4677004,Layout 59,Dummy Dev Pvt Ltd,54760,"POLYGON((80.002326 14.017315, 80.012326 14.017315, 80.012326 14.025315, 80.002326 14.025315, 80.002326 14.017315))",APP/2017/6718,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
69bdda77-03c7-4d42-8adb-9b8448130c3d,Layout 60,Dummy Dev Pvt Ltd,68434,"POLYGON((80.083086 14.083927, 80.093086 14.083927, 80.093086 14.091927, 80.083086 14.091927, 80.083086 14.083927))",APP/2019/3584,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
496b526a-a8b5-4b4a-b9c4-e2a030ddacf7,Layout 61,Dummy Dev Pvt Ltd,59651,"POLYGON((80.038818 14.050322, 80.048818 14.050322, 80.048818 14.058322, 80.038818 14.058322, 80.038818 14.050322))",APP/2024/9666,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
9f34eeea-23a8-4b51-a888-a0394318a0a8,Layout 62,Dummy Dev Pvt Ltd,59240,"POLYGON((79.995782 14.07771, 80.005782 14.07771, 80.005782 14.08571, 79.995782 14.08571, 79.995782 14.07771))",APP/2025/2697,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
b71f6cf8-45df-4ba6-a774-dab35bccf59b,Layout 63,Dummy Dev Pvt Ltd,35129,"POLYGON((80.088893 14.009429, 80.098893 14.009429, 80.098893 14.017429, 80.088893 14.017429, 80.088893 14.009429))",APP/2016/3546,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
3c280c67-ba82-45ab-8e8f-9cbf80a5555f,Layout 64,Dummy Dev Pvt Ltd,64942,"POLYGON((80.022235 14.056483, 80.032235 14.056483, 80.032235 14.064483, 80.022235 14.064483, 80.022235 14.056483))",APP/2018/5325,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
788eab6c-d792-4e27-9249-86d2030b39a2,Layout 65,Dummy Dev Pvt Ltd,26658,"POLYGON((80.045541 14.021112, 80.055541 14.021112, 80.055541 14.029112, 80.045541 14.029112, 80.045541 14.021112))",APP/2016/7939,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
eb3b93b2-0382-4b80-a174-05d6a80bfafb,Layout 66,Dummy Dev Pvt Ltd,63719,"POLYGON((80.077935 14.000409, 80.087935 14.000409, 80.087935 14.008409, 80.077935 14.008409, 80.077935 14.000409))",APP/2017/5291,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
15e13f1e-138e-4792-994d-6b21051895e5,Layout 67,Dummy Dev Pvt Ltd,76057,"POLYGON((80.011158 14.040184, 80.021158 14.040184, 80.021158 14.048184, 80.011158 14.048184, 80.011158 14.040184))",APP/2023/1158,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
5be66d28-eb0c-405d-aaea-dacdd5003a90,Layout 68,Dummy Dev Pvt Ltd,39536,"POLYGON((80.006187 14.090505, 80.016187 14.090505, 80.016187 14.098505, 80.006187 14.098505, 80.006187 14.090505))",APP/2023/1590,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
222376cb-c9a1-4aeb-8daf-1a3652d9927a,Layout 69,Dummy Dev Pvt Ltd,39410,"POLYGON((80.07846 14.054251, 80.08846 14.054251, 80.08846 14.062251, 80.07846 14.062251, 80.07846 14.054251))",APP/2021/3088,DTCP,2025-09-12T09:10:07Z,2025-09-12T09:10:07Z
